"feature","peak_id","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample","file_name","adduct_type","M_area"
"FT0191",36551,113.054217923141,113.054149627686,113.054264068604,324.403503417969,310.489273071289,348.407302856445,382387.098245951,NA,56579.7109375,NA,23,"190715_Smp_FK180310S77C1-25m_B.mzML","C13",821251.224524498
"FT0191",37446,113.054221808011,113.054149627686,113.054264068604,323.154876708984,310.489273071289,348.407302856445,467536.645537649,NA,55155.16796875,NA,24,"190715_Smp_FK180310S77C1-25m_C.mzML","C13",650561.028812706
"FT0191",38331,113.054211131411,113.054149627686,113.054264068604,320.742340087891,310.489273071289,348.407302856445,324308.884590442,NA,48834.67578125,NA,25,"190715_Smp_FK180310S77C1-DCM_A.mzML","C13",696686.961688414
"FT0191",39208,113.054220883599,113.054149627686,113.054264068604,320.883819580078,310.489273071289,348.407302856445,240701.884925857,NA,47101.578125,NA,26,"190715_Smp_FK180310S77C1-DCM_B.mzML","C13",816037.935293078
"FT0191",40116,113.054204377251,113.054149627686,113.054264068604,320.427093505859,310.489273071289,348.407302856445,850994.007352862,NA,83618.21875,NA,27,"190715_Smp_FK180310S77C1-DCM_C.mzML","C13",1272201.2188167
"FT0191",40976,113.054202315461,113.054149627686,113.054264068604,321.790771484375,310.489273071289,348.407302856445,600809.230500323,NA,73867.6171875,NA,28,"190715_Smp_FK180310S80C1-25m_A.mzML","C13",908128.275180906
"FT0191",41852,113.054250099177,113.054149627686,113.054264068604,322.696746826172,310.489273071289,348.407302856445,457861.307575277,NA,104921.984375,NA,29,"190715_Smp_FK180310S80C1-25m_B.mzML","C13",1669842.76882797
"FT0191",42726,113.054239420201,113.054149627686,113.054264068604,323.235168457031,310.489273071289,348.407302856445,467449.52621346,NA,133389.421875,NA,30,"190715_Smp_FK180310S80C1-25m_C.mzML","C13",1972430.46426558
"FT0191",43571,113.054218796066,113.054149627686,113.054264068604,323.227111816406,310.489273071289,348.407302856445,513542.490788221,NA,51219.6875,NA,31,"190715_Smp_FK180310S80C1-DCM_A.mzML","C13",817985.85537079
"FT0191",44473,113.054199193467,113.054149627686,113.054264068604,324.966491699219,310.489273071289,348.407302856445,698780.734677587,NA,87461.1328125,NA,32,"190715_Smp_FK180310S80C1-DCM_B.mzML","C13",1523682.97784826
"FT0191",45385,113.054216681701,113.054149627686,113.054264068604,322.266723632812,310.489273071289,348.407302856445,570798.072023218,NA,57355.90625,NA,33,"190715_Smp_FK180310S80C1-DCM_C.mzML","C13",976467.21776244
"FT0191",46743,113.054237365723,113.054149627686,113.054264068604,340.641082763672,310.489273071289,348.407302856445,15062.5233632785,NA,15492.32421875,NA,35,"190715_Std_4uMStdsMix1InH2O_2.mzML","C13",0
"FT0191",47231,113.054194461281,113.054149627686,113.054264068604,324.325286865234,310.489273071289,348.407302856445,1525774.27586736,NA,109623.1953125,NA,36,"190715_Std_4uMStdsMix1InMatrix_1.mzML","C13",1961138.84099507
"FT0191",14344,113.05420281133,113.054122924805,113.054344177246,324.605224609375,310.240173339844,340.693420410156,2009517.34516652,2009484.74852252,109388.5546875,26,37,"190715_Std_4uMStdsMix1InMatrix_2.mzML","C13",1833977.78703666
"FT0191",15015,113.054193150845,113.054161071777,113.054222106934,339.616241455078,313.952178955078,381.307189941406,54668900.2899998,54668829.5380958,2690323.75,90,38,"190715_Std_4uMStdsMix2InH2O_1.mzML","C13",52748737.284008
"FT0191",15418,113.054213718053,113.054183959961,113.054252624512,336.810119628906,310.738372802734,381.358459472656,55942731.3970038,55942658.5706178,2829993.5,65,39,"190715_Std_4uMStdsMix2InH2O_2.mzML","C13",54585840.6724186
"FT0191",15918,113.054153362323,113.054138183594,113.054176330566,326.215637207031,303.155212402344,352.3759765625,56007768.6068764,54922819.667351,2758109,42,40,"190715_Std_4uMStdsMix2InMatrix_1.mzML","C13",50043073.4058151
"FT0191",16672,113.054146377423,113.054122924805,113.054176330566,324.785217285156,301.131530761719,351.956298828125,52852016.1475916,51808987.4716158,2755574.5,86,41,"190715_Std_4uMStdsMix2InMatrix_2.mzML","C13",45722137.8346062
